,time_period,time_identifier,version,geographic_level,methodology_level,country_code,country_name,characteristic_group,characteristic,characteristic_gender,table,school_type,school_admission_type,school_religious_denomination,subject,qualification_type,subject_entry,Total_achieving_A*-G/9-1,Total_achieving_A*-C/9-4,Total_achieving_A-B,Total_achieving_A-E,Total_achieving_level_1_pass,Total_achieving_level_2_pass
104,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Chemistry,GCSE and equivalent,78446,77741,70148,0,0,0,0
105,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Chemistry,GCSE and equivalent,156221,155076,140668,0,0,0,0
106,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Classical Civilisation,GCSE,1838,1833,1579,0,0,0,0
107,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Classical Civilisation,GCSE,1691,1684,1294,0,0,0,0
108,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Classical Civilisation,GCSE,3529,3517,2873,0,0,0,0
109,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Classical Civilisation,GCSE and equivalent,1838,1833,1579,0,0,0,0
110,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Classical Civilisation,GCSE and equivalent,1691,1684,1294,0,0,0,0
111,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Classical Civilisation,GCSE and equivalent,3529,3517,2873,0,0,0,0
112,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Classical Greek,GCSE,501,498,469,0,0,0,0
113,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Classical Greek,GCSE,613,611,596,0,0,0,0
114,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Classical Greek,GCSE,1114,1109,1065,0,0,0,0
115,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Classical Greek,GCSE and equivalent,501,498,469,0,0,0,0
116,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Classical Greek,GCSE and equivalent,613,611,596,0,0,0,0
117,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Classical Greek,GCSE and equivalent,1114,1109,1065,0,0,0,0
118,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Combined Science,GCSE,183339,180433,105401,0,0,0,0
119,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Combined Science,GCSE,186356,181566,96993,0,0,0,0
120,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Combined Science,GCSE,369695,361999,202394,0,0,0,0
121,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Combined Science,GCSE and equivalent,183339,180433,105401,0,0,0,0
